# P_bar,T_K,rho_kgm3,alpha_1_K,Cp_J_K_mol
9.000000000000001164e+05,2.200000000000000000e+03,1.022780549302009240e+04,-4.760900888689360677e+00,5.497085466131204612e+02
9.000000000000001164e+05,2.240000000000000000e+03,1.022067029879284746e+04,-4.755682304500445490e+00,5.538338783437048960e+02
9.000000000000001164e+05,2.280000000000000000e+03,1.021345430171175030e+04,-4.750509799022355040e+00,5.579853276846428116e+02
9.000000000000001164e+05,2.320000000000000000e+03,1.020615741976149366e+04,-4.745383154780496326e+00,5.621611778693660426e+02
9.000000000000001164e+05,2.360000000000000000e+03,1.019877772321765588e+04,-4.740302203623537380e+00,5.663598717739700987e+02
9.000000000000001164e+05,2.400000000000000000e+03,1.019131888706691279e+04,-4.735266596107908121e+00,5.705797067858560467e+02
9.000000000000001164e+05,2.440000000000000000e+03,1.018377900689344460e+04,-4.730276145875212279e+00,5.748192876359532875e+02
9.000000000000001164e+05,2.480000000000000000e+03,1.017615805662947787e+04,-4.725330567350358280e+00,5.790772239210592716e+02
9.000000000000001164e+05,2.520000000000000000e+03,1.016845602280107778e+04,-4.720429475125323293e+00,5.833522112836211591e+02
9.000000000000001164e+05,2.560000000000000000e+03,1.016067290382457031e+04,-4.715572540253258005e+00,5.876430144521841612e+02
9.000000000000001164e+05,2.600000000000000000e+03,1.015280870946324831e+04,-4.710759377198744602e+00,5.919484771456552608e+02
9.000000000000001164e+05,2.640000000000000000e+03,1.014486346015601885e+04,-4.705989525740632118e+00,5.962675192511536579e+02
9.000000000000001164e+05,2.680000000000000000e+03,1.013683718651685558e+04,-4.701262651873858722e+00,6.005991182699689261e+02
9.000000000000001164e+05,2.720000000000000000e+03,1.012872992869166774e+04,-4.696578142176815795e+00,6.049423486422564338e+02
9.000000000000001164e+05,2.760000000000000000e+03,1.012054173572710351e+04,-4.691935593675134797e+00,6.092963276485452297e+02
9.000000000000001164e+05,2.800000000000000000e+03,1.011227266515784322e+04,-4.687334473500255783e+00,6.136602472386069849e+02
9.000000000000001164e+05,2.840000000000000000e+03,1.010392278229935437e+04,-4.682774336958322792e+00,6.180333526477726309e+02
9.000000000000001164e+05,2.880000000000000000e+03,1.009549215972828097e+04,-4.678254530306015013e+00,6.224149762461499904e+02
9.000000000000001164e+05,2.920000000000000000e+03,1.008698087684942038e+04,-4.673774575264794784e+00,6.268044802618740050e+02
9.000000000000001164e+05,2.960000000000000000e+03,1.007838901932299268e+04,-4.669333881493628269e+00,6.312012995605147125e+02
9.000000000000001164e+05,3.000000000000000000e+03,1.006971667855012856e+04,-4.664931898026336121e+00,6.356049206056793537e+02
